,F,T
0,48.07683423157828,69.85181557302408
1,61.16161829083704,65.19945844311712
2,47.303413571835435,51.54536473924136
3,34.696960625557814,65.13088157788249
4,62.23835122761965,55.7011122007587
5,55.14118394546699,48.06992229358327
6,44.02992686080522,60.094683992176115
7,40.90876825905216,63.37291373493764
8,51.9444156106857,52.13675862402669
9,36.204053338701634,74.41345554979473
10,54.38345186913955,63.534432287269475
11,70.0272825722173,87.40696605425504
12,55.45747199829729,60.51970584971705
13,49.599214039305075,75.99167238162605
14,40.02817321385423,63.54384925835523
15,56.65739911357212,55.19397179488328
16,67.77814972362609,71.32010091109512
17,70.36053397043153,57.84156763088696
18,54.21924648872902,68.71295294910674
19,54.34891776830294,48.410753370370685
20,62.20620971266251,66.57054640438979
21,38.5470416029531,82.80516546230109
22,49.19820550949729,95.42293503201519
23,48.84278839827817,48.208621335337256
24,48.80205831903945,56.1321041220479
25,44.69732442004226,75.6476823424482
26,52.72663573814843,70.97088871930478
27,80.05002609666924,62.02785808010466
28,51.74850078400606,72.82415545672067
29,42.27462469362745,60.67815330240778
30,42.739269991236576,93.76126229958368
31,64.28835246009761,68.52549553548461
32,39.73360243930296,74.90261247289071
33,52.2946465544299,57.961936925363986
34,53.17630227911837,69.65442311916208
35,49.46450232288086,67.64102867315354
36,52.95171892961708,69.07078849270354
37,65.30327065156975,46.35605291770331
38,49.22201066843291,63.078929436505064
39,46.75249823439162,65.60154597888688
40,37.49818884450444,55.88651052946803
41,28.780166376544397,70.05299234001986
42,80.14616853251442,67.64845376520186
43,59.04869078735153,45.16969896798909
44,55.199101565160994,83.64389897715168
45,37.40759318309388,49.43679685043676
46,42.93148815979876,47.54235241204691
47,58.674046104610724,49.41093254086727
48,61.273226903951844,
49,54.37669337524013,
50,59.24824827391675,
51,54.725270843740695,
